blind_pair_id,source_item_id,source_manifest,source_manifest_sha256,source_original_path,source_edited_path,image_a_variant,image_b_variant,source_original_sha256,source_edited_sha256,question,required_change
CV11-I-7C2D3C61CAFCD834,preview_pilot_b9d07041adf4,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_b9d07041adf4.jpg,data/edits/main_real_200/pilot_b9d07041adf4.jpg,original,edited,ace7da673d245a883aaf1f7753828bfe9e3ffa6cf4aae11f8d09beed46e0b895,d4a472f6bcab921b37671905dc346c194845f3036303bfaa43e75440598fae09,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-80EF3CD8BBA52D5D,preview_pilot_4c9e8e7fb2c2,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_4c9e8e7fb2c2.jpg,data/edits/main_real_200/pilot_4c9e8e7fb2c2.jpg,edited,original,9d49662c961398dba019fc57a25770989be9bd7650f095206d1c98a08d871927,c52a9413cd270abe06181ee3da7cf85f075c118c59eab55537a6e2bdd6ad9a29,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,change
CV11-I-8AB7CE2A03FC79D7,preview_pilot_28be06653ab9,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_28be06653ab9.jpg,data/edits/main_real_200/pilot_28be06653ab9.jpg,original,edited,f4638c2ac4fe4ab52a75ab61c6a3316efdce2cc3e7beebec4725fc510b3c1d42,884263c68a25354a34e06bbb86ba8b0471425d0c9bdd0a267feb415e4003c119,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-8FA32738A966048B,preview_pilot_f7f706d3f9f5,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_f7f706d3f9f5.jpg,data/edits/main_real_200/pilot_f7f706d3f9f5.jpg,edited,original,e7976a6ffe77decc2f6c02317150bf18e94e1fdd562808aaaa8a7bef8e9300d7,fc30b0d2ca32a143d50b0d64aad54c1541be568c686ff232e4548dca63481d22,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-907C1CE6F374C0F9,preview_pilot_d0e82019360b,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_d0e82019360b.jpg,data/edits/main_real_200/pilot_d0e82019360b.jpg,edited,original,7dadf0c35b9c640062d7e86c6ce88b2cff0b9ff16ef2a365d58278d635514542,ab183547cb2bdd4ca6b320479ae4e7105790be65f53f1695fc63329c8423bf91,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-90B926AA3D974A7D,preview_pilot_019f0637cabf,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_019f0637cabf.jpg,data/edits/main_real_200/pilot_019f0637cabf.jpg,edited,original,04048f3ee1fa56901b651124529f8c4ae81ebcb25592959e6b3c533bbbadd01c,51fbc0ce388ce7c81f569456a45cc36650cc46fa67c45153b488d74f133e96ac,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-95BF49E65E616B61,preview_pilot_059c9c1b14f2,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_059c9c1b14f2.jpg,data/edits/main_real_200/pilot_059c9c1b14f2.jpg,original,edited,ea79a8468b3479315a41e0c1d0cd9916374b1e009e621bcca4a50cb2910ab508,6f3ff8c563af48b66223a0366c75c4a58aa362cb19049e2c1f0aa35446bfbee3,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-9BB5D82B1B87E728,preview_pilot_e7ae50dba6e1,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_e7ae50dba6e1.jpg,data/edits/main_real_200/pilot_e7ae50dba6e1.jpg,edited,original,8d8715e887fd9ab8d3d660ee8a5efe5f7eb0785486b4ad93aca1335312c169cd,6ae70903879b6c5b6a6603735688fec2efc4c97155da2601254dcccd2bb8e2e8,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-9E32CD77ED18CB09,preview_pilot_ce19f8655c97,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_ce19f8655c97.jpg,data/edits/main_real_200/pilot_ce19f8655c97.jpg,original,edited,844ee8ebdb9e8bd2da0e51a6d7ab1e4a752340ee5710965eb2c392da0b3bc582,ffb159b344aa108c5853a3e3d77aa67f63a9000e22beb96f772a7082ddeb6d5b,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-A203F846FEACBFD3,preview_pilot_16a7354ce022,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_16a7354ce022.jpg,data/edits/main_real_200/pilot_16a7354ce022.jpg,edited,original,8e9e6f15fc48194c3da7aa4a19bd2bca8f602109490f3c8897f571b3d194915c,38fbd25204272a48cf2becc512ff4b4c25d7535e6d60731d76471d9f4c8c06a7,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-A4681F9804FF0431,preview_pilot_46e1bd3d5152,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_46e1bd3d5152.jpg,data/edits/main_real_200/pilot_46e1bd3d5152.jpg,edited,original,0acf44e5d30bbddcda97b2188894e1ac51515caebe9e9c697f1ee7b8f4f224c6,9f0dc5fdd212f07ab44db6e375e00c62c78774b83925b405fc962a911060ed76,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-AAB16192DC0C1186,preview_pilot_6ae5a8ca1485,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_6ae5a8ca1485.jpg,data/edits/main_real_200/pilot_6ae5a8ca1485.jpg,original,edited,751ea50f60639446aa6ca5829574eb1575464f509db3b2d7eb33d90aac4bb23c,6df3cbe3defb4d713c8bbe20e1182dd92c2a7bbc8fabb2440c2518c0e1d0ac4d,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-AAB64562817A5CBB,preview_pilot_08288a674ccd,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_08288a674ccd.jpg,data/edits/main_real_200/pilot_08288a674ccd.jpg,original,edited,63213b0edb46843a7343dcf5edc24c6cc1f7d61156f963bbed0a422631a200cd,90fa353204fb19850d8189349d52db57c264b8dedba904d67793802bfd4061e1,Is the chair absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-AB0E3AE675577333,preview_pilot_1ff79de6fa95,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_1ff79de6fa95.jpg,data/edits/main_real_200/pilot_1ff79de6fa95.jpg,edited,original,d57fc30d5217c16919f9e8db2db074e92f62bbb65477cc7c9cc7c61569a5433f,333ea80590c725e5f9098130fbcd9675c0b65162fd547bb4bc7d2d47912cf1be,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-AE7FB14065C515BC,preview_pilot_e7a4280b4ffa,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_e7a4280b4ffa.jpg,data/edits/main_real_200/pilot_e7a4280b4ffa.jpg,original,edited,49a51ac9d3aedd75d947da57ac5b7230c25f352be30adf70278d790d68c27015,abca82ff7d729ba82d9d566cd59046c4ce2ae0a899b529ae5184dfecedbdb5a8,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-AEE4FB2828DFD85F,preview_pilot_eabb438e5961,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_eabb438e5961.jpg,data/edits/main_real_200/pilot_eabb438e5961.jpg,original,edited,813ceb8098ba68acae35f40ae4fb83dc9a0820de67d2666c9c9d588a65286e4c,01f8a416c724cf3a32302767cce65901d93f9e8a5db1d6c809fc346229a6eb58,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-B2BDFD627418114F,preview_pilot_65a2baa96527,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_65a2baa96527.jpg,data/edits/main_real_200/pilot_65a2baa96527.jpg,edited,original,8c31b1fc47927d2443164b5decb740a7778cd24ed434a82298067002e48f42e5,390ba90f038adea15a16be778a70eed6a60bf16aa75d706e7376351440a8057b,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-B34982EC5729A1A4,preview_pilot_8e304d627557,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_8e304d627557.jpg,data/edits/main_real_200/pilot_8e304d627557.jpg,original,edited,b0804be3ccfaf706cf8d7516dedebc87c180a243f0a9dfdb40d4382a1a21fc29,d2541dd1d57fc9d15bacbba5ebf2d0de3932eee6b63b134c81d4b70b82906e7e,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,change
CV11-I-B71FA8CFBFF0E74E,preview_pilot_3dbbe77ab4c3,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_3dbbe77ab4c3.jpg,data/edits/main_real_200/pilot_3dbbe77ab4c3.jpg,original,edited,5f767359c079481e9ed0861912528a72da0b950a4499cf57abb65aee6c217063,de07e35d7e8d7f18ac0e410c73ec72661d012bb7a154cf23886225f16840267c,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-B93F7EF8DF1150F6,preview_pilot_39e12f1ad291,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_39e12f1ad291.jpg,data/edits/main_real_200/pilot_39e12f1ad291.jpg,original,edited,a8915e08f4940a8eaa40fcd22558cb3c7c252a9184caea16ccb9862632c0029d,da0cee8d2ba73df8325471c7ecd02785d6fc58757fca3b98f9b64941746ed2d4,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-C030D34FF0ECC892,preview_pilot_7af4b227747f,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_7af4b227747f.jpg,data/edits/main_real_200/pilot_7af4b227747f.jpg,edited,original,da343a4127283d77876a5a09037bffb3219f30307011bca6ff4fe4da508ea7c3,f9aadd7b7a325b630eb200d77d65b285697f5661540458886c2f371742765b0f,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-C1995A1A1E27A651,preview_pilot_667aa11a75bc,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_667aa11a75bc.jpg,data/edits/main_real_200/pilot_667aa11a75bc.jpg,original,edited,1b2975860474013bd3de2190fea7436b0bab1e54072fc2595ecd77799dd4c525,92821cc628a93a4d10cabe5eda937fbb1bc92349cabde01cbe2b3edf2a4d4a50,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-CA199A19F4CA42BC,preview_pilot_8a283cbc9b3e,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_8a283cbc9b3e.jpg,data/edits/main_real_200/pilot_8a283cbc9b3e.jpg,edited,original,98dd1fa0ecc126c951e0decbc79268d622169f9aa82046898ca7d4807180f960,9faff9d374ddcfb7329740d29289ef51d8f94da1f13581059dc6817a7f0738c9,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-CFC7F908321F3C58,preview_pilot_2ae228dc006d,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_2ae228dc006d.jpg,data/edits/main_real_200/pilot_2ae228dc006d.jpg,edited,original,834e31ac121ee9ae121326778f1e8eb1a77aa8bc00fa829afd9f83b336755557,cd64b89c37b53b29c41dd4e6c196ccfe8426298fb98f44370665878e3bddc969,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-D20E567753207AD2,preview_pilot_4b0d8682375a,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_4b0d8682375a.jpg,data/edits/main_real_200/pilot_4b0d8682375a.jpg,edited,original,aafc7c9cd7972d00e90335650dd8c59fd6df1dfd43c7880be5b149364da13daf,33c044bece68266fba7c0bf3c5ffd675982b944b14daa19808c853de3230d3d7,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-D3CA69678B089432,preview_pilot_ff8eed607a75,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_ff8eed607a75.jpg,data/edits/main_real_200/pilot_ff8eed607a75.jpg,original,edited,1ef9b0574a187108829d5b48da2a61b5561779dccff8f092215432b154eb4b76,cd310f42704ed0d6648cfb5313f2cbb0413d019cc862e2c964adc23927040fe7,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-D6F761FA20BE5E5F,preview_pilot_34c3764e7fc7,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_34c3764e7fc7.jpg,data/edits/main_real_200/pilot_34c3764e7fc7.jpg,edited,original,56d75367f68780176ddea3caad1e22cd5bcc753ed962a4ae95d9c498bfe705e5,b37437eaca3656316f6c9c94ef421cdc768fdc9aa4c755ff3637e77dee613e7f,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-D966965263D71EB6,preview_pilot_bab291588bc7,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_bab291588bc7.jpg,data/edits/main_real_200/pilot_bab291588bc7.jpg,original,edited,f42fde1a7e163c1d320d3967c036c30d06e97f8def05d60541dd6b419ef0d068,49179794c0e2a290729cea6bb9b3e618b6bc0608890c16299490090fb7127dc2,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-DA06BC2CDC23CE82,preview_pilot_a72849e57de2,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_a72849e57de2.jpg,data/edits/main_real_200/pilot_a72849e57de2.jpg,edited,original,9c818455a06d6192182cf32828ceea1536c0ff3e3df115165644c5ebfa8b1686,e253aeb4775a7020aabdd697973ad66426817f1ccc0ab621225a6e16262c0866,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-DDADD1CBD47FB7FF,preview_pilot_1a52adcb9b61,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_1a52adcb9b61.jpg,data/edits/main_real_200/pilot_1a52adcb9b61.jpg,original,edited,090f8380f4a8152bd52e587d14d6392b66ea6bcf3bb73c6c0cc082bb80eb6863,42484517b7447c4d743a28569eadd9826ae356e05fc2b4489c7feef3c58f67d3,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-DE8EEA305F5CE73B,preview_pilot_7856add436f1,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_7856add436f1.jpg,data/edits/main_real_200/pilot_7856add436f1.jpg,original,edited,a0f66df92716bed7d66b9e23e67922ec7c4f30b4544e3e5732e81129c95b7fc6,b7a6fb5ab99cf6854f561d9cc6acd86891aa77dc7876dc80fd2e0d96c74ef96a,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-E140D494E1F47910,preview_pilot_1d836c4db9c4,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_1d836c4db9c4.jpg,data/edits/main_real_200/pilot_1d836c4db9c4.jpg,original,edited,92ad2b9462a47723f3f19d79cec5e50c902613341415a94d1f6b7dff9a2a39b0,4442bd69673ef6c0127e2ba17595f7be3bef8d54082efbe8bbf536a609d77c4c,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-E663B59613A94A66,preview_pilot_a77a6e689ce9,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_a77a6e689ce9.jpg,data/edits/main_real_200/pilot_a77a6e689ce9.jpg,original,edited,443714ff7c9552eac49e9e1b6307d14813a8dee6d6106c563284a900b1e9bef5,7ae1249ba9db98927765734c5d37b70f87ac43eff7a32f6a4ba4469b32061576,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-E6A9B890572B87D9,preview_pilot_3a5a00f73576,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_3a5a00f73576.jpg,data/edits/main_real_200/pilot_3a5a00f73576.jpg,original,edited,e00c884fd0e7d1aa4c2ee6bc59036870b57010e495ac28980ab2fac8e8c813a8,5742f9fc0010715baf2a0ba3f5370068b6d5e4df16a25a0d2580ccb0ec8687e5,Is the sofa absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-E9E04586B66E4FFA,preview_pilot_5c25a0a94031,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_5c25a0a94031.jpg,data/edits/main_real_200/pilot_5c25a0a94031.jpg,original,edited,eb683d576d3ac920cbd1287a6fb771bb1878b962e628c9a1159e449478d395c8,56e21796bf193d45ba9490454ce48abff96e2bd77710563789dd784430dc23c3,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,change
CV11-I-EBC360E1E89430DF,preview_pilot_d7af8a72d3e0,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_d7af8a72d3e0.jpg,data/edits/main_real_200/pilot_d7af8a72d3e0.jpg,edited,original,750ccbf734a2c8a607ecce634fb2342ed7d42a55e504d6be37fe5905ece44115,076a65ea40b0aeb79d1930a465af9d043dd3d7e61a16efb0558fe7c84faaa1c3,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-EC59C1E894197C3C,preview_pilot_756458bc639a,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_756458bc639a.jpg,data/edits/main_real_200/pilot_756458bc639a.jpg,original,edited,3693f0daf4c4c551dae29c6455889ae97b4a29fc4f39ec078948bcf597ccbeef,21eb36397d8dfcdb4dbff63c1e1734298505da494141c5530539f2550eaaf2ec,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-EDBE288B938B7569,preview_pilot_f3dddd670aa6,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_f3dddd670aa6.jpg,data/edits/main_real_200/pilot_f3dddd670aa6.jpg,original,edited,11ae6a69ad50a08890e7d14dbde7f3db9d065096140162478d0a6d938b0d349f,ba504ebcc23fb441bee11312a057e2ecbfc275ee48f7c08c9be19dd155405e0e,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-EE3E387149D1A14B,preview_pilot_2ac91af26fdd,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_2ac91af26fdd.jpg,data/edits/main_real_200/pilot_2ac91af26fdd.jpg,edited,original,78730308a76426127a856700a53b27ae7df32c193075a78f3364f00261cf082a,3bb2a6e36d5bc73ba89b4280a5d159418b1cc93f81e3ae13d480e760c7cd627a,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,change
CV11-I-F024176DA5D0C4C0,preview_pilot_7d1bd569f40f,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_7d1bd569f40f.jpg,data/edits/main_real_200/pilot_7d1bd569f40f.jpg,edited,original,1f0425f6d0d09ebfc9b93dd6aba16564e9fbcf5d787f04442be2fa7c0350d9e4,3917a3b4ecb173ebd51951ed23ae7c0a092a264dc877c3a613df1f8650328b93,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,change
CV11-I-F05F604E906FC09E,preview_pilot_952762e94470,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_952762e94470.jpg,data/edits/main_real_200/pilot_952762e94470.jpg,edited,original,e687c2933f84345dcf6d512f8d3ba04ed1ce0644ec7f42055d0943561932f103,05722452aecb562d548e1454246673e265dc1728203ecddf7d5610dc5710fa82,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,change
CV11-I-F69CD87EE2335A80,preview_pilot_902e04d96596,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_902e04d96596.jpg,data/edits/main_real_200/pilot_902e04d96596.jpg,edited,original,18c9d63089cdce9018ce6edfe87df97f3df343e97f2ceb55a375b27d5dc0b5d7,c03b32b8f0df2b5c3b8f08be1405dad913dbdf85299a35b991c9b28c42dc5fde,Is the chair absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
CV11-I-F9450AAA815761ED,preview_pilot_2d4c2db58126,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_2d4c2db58126.jpg,data/edits/main_real_200/pilot_2d4c2db58126.jpg,original,edited,abc2658d9471d05ca4f826393f7e106f700e4d14a7e085a99b0dd7f71cfb30cb,3d19082867a8ce6ecfd36334943b9e7db95f3fd4d8939f3cdce241f36c120f65,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,change
CV11-I-FB79913F58387772,preview_pilot_eeb6829fee0f,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_eeb6829fee0f.jpg,data/edits/main_real_200/pilot_eeb6829fee0f.jpg,edited,original,e844055cb5c17710231d2ec45ed83784842bf492ab9134a09fa8f908da998ba8,ec4362cded6c045610ce7dc877766c6acf21a2081b10bb659a517b2e095cd0f4,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,change
CV11-I-FEF7559C435967DA,preview_pilot_e5fdeb86a995,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,data/edits/main_real_200/orig/pilot_e5fdeb86a995.jpg,data/edits/main_real_200/pilot_e5fdeb86a995.jpg,original,edited,30f192dd11100e8dcb559c8a4ec599ae0a02664a26bfb706d270c2d7bd528394,d370890acf3f5828134604d4ffd432a6bf5a02664bcf00a89bc277b844248301,Is the table absent or not clearly visible in the image? Respond with exactly one token: yes or no.,change
